magicka.1.d;Я чувствую, как моя сила медленно возвращается. Я восстановил часть своей магии.;;;;;;;;;;;;;x
EVTOPTA600000;Я удалю все эффекты на себе.;;;;;;;;;;;;;x;
EVTOPTB600000;Я удалю все эффекты на провинции.;;;;;;;;;;;;;x;
EVTOPTC600000;Я изменил свое решение.;;;;;;;;;;;;;x;
####################CHARACTER SPELLS;;;;;;;;;;;;;x;;
fortify_health;Укрепить Здоровье;;;;;;;;;;;;;x;
fortify_health_desc;Заклинание Укрепить Здоровье повышает здоровье у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600001;Используйте магию Восстановления, чтобы временно увеличить здоровье у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600001;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600001;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600001;Я использую большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600001;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_fortify_health_1;Укрепить Здоровье;;;;;;;;;;;;;x;
spell_fortify_health_2;Укрепить Здоровье;;;;;;;;;;;;;x;
spell_fortify_health_3;Укрепить Здоровье;;;;;;;;;;;;;x;
fortify_fertility;Улучшить Фертильность;;;;;;;;;;;;;x;
fortify_fertility_desc;Заклинание Улучшение Фертильности повышает плодовитость у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600002;Используйте магию Восстановления, чтобы временно увеличить плодовитость у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600002;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600002;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600002;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600002;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_fortify_fertility_1;Улучшить Фертильность;;;;;;;;;;;;;x;
spell_fortify_fertility_2;Улучшить Фертильность;;;;;;;;;;;;;x;
spell_fortify_fertility_3;Улучшить Фертильность;;;;;;;;;;;;;x;
fortify_diplomacy;Улучшить Красноречие;;;;;;;;;;;;;x;
fortify_diplomacy_desc;Заклинание Улучшить Красноречие повышает навык дипломатии у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600003;Используйте магию Восстановления, чтобы временно увеличить навык дипломатии у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600003;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600003;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600003;Я использую большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600003;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_fortify_diplomacy_1;Улучшить Красноречие;;;;;;;;;;;;;x;
spell_fortify_diplomacy_2;Улучшить Красноречие;;;;;;;;;;;;;x;
spell_fortify_diplomacy_3;Улучшить Красноречие;;;;;;;;;;;;;x;
fortify_martial;Увеличить Силу;;;;;;;;;;;;;x;
fortify_martial_desc;Заклинание Увеличение Силы повышает боевые навыки у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600004;Используйте магию Восстановления, чтобы временно увеличить боевые навыки у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600004;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600004;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600004;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600004;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_fortify_martial_1;Увеличить Силу;;;;;;;;;;;;;x;
spell_fortify_martial_2;Увеличить Силу;;;;;;;;;;;;;x;
spell_fortify_martial_3;Увеличить Силу;;;;;;;;;;;;;x;
fortify_stewardship;Улучшить навык управления;;;;;;;;;;;;;x;
fortify_stewardship_desc;Заклинание Улучшить Управление повышает навык управления у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600005;Использовать магию Восстановления, чтобы временно увечить навык управления у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600005;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600005;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600005;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600005;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_fortify_stewardship_1;Улучшить Управление;;;;;;;;;;;;;x;
spell_fortify_stewardship_2;Улучшить Управление;;;;;;;;;;;;;x;
spell_fortify_stewardship_3;Улучшить Управление;;;;;;;;;;;;;x;
fortify_intrigue;Улучшить Скрытность;;;;;;;;;;;;;x;
fortify_intrigue_desc;Заклинание Улучшить Скрытность повышает навык интриги у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600006;Использовать магию Восстановления, чтобы временно увечить навык интриги у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600006;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600006;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600006;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600006;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_fortify_intrigue_1;Улучшить Скрытность;;;;;;;;;;;;;x;
spell_fortify_intrigue_2;Улучшить Скрытность;;;;;;;;;;;;;x;
spell_fortify_intrigue_3;Улучшить Скрытность;;;;;;;;;;;;;x;
fortify_learning;Увеличить Интеллект;;;;;;;;;;;;;x;
fortify_learning_desc;Заклинание Увеличить Интеллект повышает навык образованности у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600007;Использовать магию Восстановления, чтобы временно увечить навык образованности у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600007;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600007;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600007;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600007;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_fortify_learning_1;Увеличить Интеллект;;;;;;;;;;;;;x;
spell_fortify_learning_2;Увеличить Интеллект;;;;;;;;;;;;;x;
spell_fortify_learning_3;Увеличить Интеллект;;;;;;;;;;;;;x;
fortify_prestige;Увеличить Престиж;;;;;;;;;;;;;x;
fortify_prestige_desc;Заклинание Увеличить Престиж повышает престиж у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600008;Использовать магию Восстановления, чтобы временно увечить престиж у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600008;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600008;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600008;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600008;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_fortify_prestige_1;Увеличить Престиж;;;;;;;;;;;;;x;
spell_fortify_prestige_2;Увеличить Престиж;;;;;;;;;;;;;x;
spell_fortify_prestige_3;Увеличить Престиж;;;;;;;;;;;;;x;
fortify_piety;Увеличить Благочестие;;;;;;;;;;;;;x;
fortify_piety_desc;Заклинание Увеличить Благочестие повышает благочестие у вашей цели.;;;;;;;;;;;;;x;
EVTDESC600009;Использовать магию Восстановления, чтобы временно увечить благочестие у вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600009;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600009;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600009;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600009;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_fortify_piety_1;Увеличить Благочестие;;;;;;;;;;;;x;;
spell_fortify_piety_2;Увеличить Благочестие;;;;;;;;;;;;x;;
spell_fortify_piety_3;Увеличить Благочестие;;;;;;;;;;;;x;;
transmute_spell;Трансмутация;;;;;;;;;;;;;x;
transmute_spell_desc;Трансмутация повышает ваш ежемесячный доход.;;;;;;;;;;;;;x;
EVTDESC600010;Использовать магию Изменения, чтобы временно увечить ежемесячный доход вашего государства.;;;;;;;;;;;;;x;
EVTOPTA600010;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600010;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600010;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600010;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_transmute_1;Трансмутация;;;;;;;;;;;;;x;
spell_transmute_2;Трансмутация;;;;;;;;;;;;;x;
spell_transmute_3;Трансмутация;;;;;;;;;;;;;x;
remove_curse;Снять Проклятие;;;;;;;;;;;;;x;
remove_curse_desc;Использовать магию, чтобы снять проклятие с цели;;;;;;;;;;;;;x;
EVTDESC600011;Use Restoration magic to dispel any curses casted upon your target.;;;;;;;;;;;;;x;
EVTOPTA600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTB600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTC600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTD600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTF600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTE600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTG600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTH600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTI600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTJ600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTK600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTL600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTM600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTN600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTO600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTP600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTQ600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTR600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTS600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTT600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTU600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTV600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTW600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTX600011;Я развею любое злое заклинание, преследующее этого человека.;;;;;;;;;;;;;x;
EVTOPTY600011;Я изменил своё решение.;;;;;;;;;;;;;x;
remove_curse_province;Снять Проклятье;;;;;;;;;;;;;x;
remove_curse_province_desc;"Прочесть заклинание ""Снять Проклятье"", чтобы избавить земли от зловредных чар";;;;;;;;;;;;;x;
EVTDESC600012;Использовать Школу Восстановления для того, чтобы развеять любые зловредные чары, воздействующие на выбранную вами цель.;;;;;;;;;;;;;x;
EVTOPTA600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTB600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTC600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTD600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTF600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTE600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTG600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTH600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTI600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTJ600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTK600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTL600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTM600012;Я развею любое злое заклинание, изматывающее эти земли.;;;;;;;;;;;;;x;
EVTOPTY600012;Я передумал.;;;;;;;;;;;;;x;
boost_global_opinion;Приятное Присутствие;;;;;;;;;;;;;x;
boost_global_opinion_desc;Заклинание Приятного Присутствия повышает мнение других людей о вас.;;;;;;;;;;;;;x;
EVTDESC600013;Используйте магию Иллюзии, чтобы улучшить отношение окружающих к вам.;;;;;;;;;;;;;x;
EVTOPTA600013;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600013;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600013;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600013;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_boost_global_opinion_1;Приятное Присутствие;;;;;;;;;;;;;x;
spell_boost_global_opinion_2;Приятное Присутствие;;;;;;;;;;;;;x;
spell_boost_global_opinion_3;Приятное Присутствие;;;;;;;;;;;;;x;
spell_construct_building;Построить Здание;;;;;;;;;;;;;x;
spell_construct_building_desc;Снизить стоимость и уменьшить срок строительства;;;;;;;;;;;;;x;
EVTDESC600014;Используйте магию Восстановления, чтобы увеличить численность ополчения, призываемого с ваших вассалов.;;;;;;;;;;;;;x;
EVTOPTA600014;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600014;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600014;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600014;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_construct_building_1;Построить здание;;;;;;;;;;;;;x;
spell_construct_building_2;Построить здание;;;;;;;;;;;;;x;
spell_construct_building_3;Построить здание;;;;;;;;;;;;;x;
boost_combat_rating;Боевой Дух;;;;;;;;;;;;;x;
boost_combat_rating_desc;"Используйте заклинание ""Боевой Дух"" для того, чтобы увеличить доблесть цели в бою.";;;;;;;;;;;;;x;
EVTDESC600015;Используйте заклинание Школы Изменения, чтобы укрепить свою доблесть в бою.;;;;;;;;;;;;;x;
EVTOPTA600015;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600015;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600015;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600015;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_combat_rating_1;Боевой Дух;;;;;;;;;;;;;x;
spell_combat_rating_2;Боевой Дух;;;;;;;;;;;;;x;
spell_combat_rating_3;Боевой Дух;;;;;;;;;;;;;x;
increase_global_income;Увеличить глобальный доход;;;;;;;;;;;;;x;
increase_global_income_desc;Увеличение глобальных налоговых поступлений;;;;;;;;;;;;;x;
EVTDESC600016;Используйте магию Изменения, чтобы увеличить глобальные налоговые поступления.;;;;;;;;;;;;;x;
EVTOPTA600016;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600016;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600016;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600016;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_increase_global_income_1;Увеличить глобальный доход;;;;;;;;;;;;;x;
spell_increase_global_income_2;Увеличить глобальный доход;;;;;;;;;;;;;x;
spell_increase_global_income_3;Увеличить глобальный доход;;;;;;;;;;;;;x;
global_tranquility;Глобальное спокойствие;;;;;;;;;;;;;x;
global_tranquility_desc;Уменьшает глобальный риск восстания;;;;;;;;;;;;;x;
EVTDESC600017;Используйте магию Иллюзии, чтобы уменьшить глобальный риск восстания.;;;;;;;;;;;;;x;
EVTOPTA600017;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600017;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600017;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600017;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_global_tranquility_1;Глобальное спокойствие;;;;;;;;;;;;;x;
spell_global_tranquility_2;Глобальное спокойствие;;;;;;;;;;;;;x;
spell_global_tranquility_3;Глобальное спокойствие;;;;;;;;;;;;;x;
boost_local_opinion;Манипулировать Эмоциями;;;;;;;;;;;;;x;
boost_local_opinion_desc;Улучшить у вашей цели отношения с местными, провинциальными правителями;;;;;;;;;;;;;x;
EVTDESC600018;Используйте магию Иллюзии, чтобы улучшить у вашей цели отношения с местной знатью.;;;;;;;;;;;;;x;
EVTOPTA600018;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600018;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600018;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600018;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_boost_local_opinion_1;Манипулировать Эмоциями;;;;;;;;;;;;;x;
spell_boost_local_opinion_2;Манипулировать Эмоциями;;;;;;;;;;;;;x;
spell_boost_local_opinion_3;Манипулировать Эмоциями;;;;;;;;;;;;;x;
boost_global_morale;Заглушить Страх;;;;;;;;;;;;;x;
boost_global_morale_desc;Повышение глобального боевого духа у солдат вашей цели;;;;;;;;;;;;;x;
EVTDESC600019;Используйте магию Иллюзии для повышения боевого духа у солдат вотчины, служащих вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600019;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600019;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600019;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600019;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_boost_global_morale_1;Заглушить Страх;;;;;;;;;;;;;x;
spell_boost_global_morale_2;Заглушить Страх;;;;;;;;;;;;;x;
spell_boost_global_morale_3;Заглушить Страх;;;;;;;;;;;;;x;
regen_global_morale;Скрывать Информацию;;;;;;;;;;;;;x;
regen_global_morale_desc;Увеличение организации у солдат вотчины, служащих вашей цели;;;;;;;;;;;;;x;
EVTDESC600020;Для увеличения организации у солдат вотчины, служащих вашей цели, используйте магию Иллюзии.;;;;;;;;;;;;;x;
EVTOPTA600020;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600020;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600020;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600020;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_regen_global_morale_1;Скрывать Информацию;;;;;;;;;;;;;x;
spell_regen_global_morale_2;Скрывать Информацию;;;;;;;;;;;;;x;
spell_regen_global_morale_3;Скрывать Информацию;;;;;;;;;;;;;x;
bless_army_weapons;Благословление солдатского оружия;;;;;;;;;;;;;x;
bless_army_weapons_desc;Увеличение силы армии у вашей цели;;;;;;;;;;;;;x;
EVTDESC600021;Используйте магию Разрушения для увеличения силы у войск вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600021;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600021;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600021;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600021;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_bless_army_weapons_1;Благословление оружия армии;;;;;;;;;;;;;x;
spell_bless_army_weapons_2;Благословление оружия армии;;;;;;;;;;;;;x;
spell_bless_army_weapons_3;Благословление оружия армии;;;;;;;;;;;;;x;
bless_army_armor;Благословление доспехов армии;;;;;;;;;;;;;x;
bless_army_armor_desc;Увеличение защиты у войск вашей цели;;;;;;;;;;;;;x;
EVTDESC600022;Используйте магию Изменения для увеличения защиты у войск вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600022;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600022;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600022;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600022;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_bless_army_armor_1;Благословление доспехов армии;;;;;;;;;;;;;x;
spell_bless_army_armor_2;Благословление доспехов армии;;;;;;;;;;;;;x;
spell_bless_army_armor_3;Благословление доспехов армии;;;;;;;;;;;;;x;
spell_charm_person;Обаятельный Персонаж;;;;;;;;;;;;;x;
spell_charm_person_desc;Улучшить отношения с другими персонажами у вашей цели;;;;;;;;;;;;;x;
EVTDESC600023;Используйте магию Изменения для увеличения налогов.;;;;;;;;;;;;;x;
EVTOPTA600023;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600023;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600023;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600023;Я изменил свое решение.;;;;;;;;;;;;;x;
boost_global_recruitment;Повышение глобального сбора рекрутов;;;;;;;;;;;;;x;
boost_global_recruitment_desc;Увеличить набор рекрутов в государстве вашей цели;;;;;;;;;;;;;x;
EVTDESC600024;Используйте магию Восстановления, чтобы увеличить набор рекрутов в государстве вашей цели.;;;;;;;;;;;;;x;
EVTOPTA600024;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600024;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600024;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600024;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_boost_global_recruitment_1;Повышение глобального сбора рекрутов;;;;;;;;;;;;;x;
spell_boost_global_recruitment_2;Повышение глобального сбора рекрутов;;;;;;;;;;;;;x;
spell_boost_global_recruitment_3;Повышение глобального сбора рекрутов;;;;;;;;;;;;;x;
#####################PROVINCE MODIFIERS;;;;;;;;;;;;;x;;
protective_wardings;Укрепление Защиты;;;;;;;;;;;;;x;
protective_wardings_desc;Укрепление Защиты повышает уровень защиты у укреплений в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600025;Используйте магию Изменения, чтобы мгновенно повысить укрепления в местной провинции.;;;;;;;;;;;;;x;
EVTOPTA600025;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600025;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600025;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600025;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_protective_wardings_1;Укрепление Защиты;;;;;;;;;;;;;x;
spell_protective_wardings_2;Укрепление Защиты;;;;;;;;;;;;;x;
spell_protective_wardings_3;Укрепление Защиты;;;;;;;;;;;;;x;
decay_walls;Разрушение Стены;;;;;;;;;;;;;x;
decay_walls_desc;Магическое повреждение стен уменьшает уровень крепости в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600026;Используйте магию Разрушения, чтобы ослабить укрепления в местной провинции.;;;;;;;;;;;;;x;
EVTOPTA600026;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600026;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600026;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600026;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_decay_walls_1;Разрушение Стены;;;;;;;;;;;;;x;
spell_decay_walls_2;Разрушение Стены;;;;;;;;;;;;;x;
spell_decay_walls_3;Разрушение Стены;;;;;;;;;;;;;x;
increase_local_levy;Увеличение набора рекрутов;;;;;;;;;;;;;x;
increase_local_levy_desc;Увеличивает численность ополченцев в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600027;Используйте магию Восстановления, чтобы увеличить численность рекрутов в указанной провинции.;;;;;;;;;;;;;x;
EVTOPTA600027;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600027;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600027;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600027;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_increase_local_levy_1;Увеличение набора рекрутов;;;;;;;;;;;;;x;
spell_increase_local_levy_2;Увеличение набора рекрутов;;;;;;;;;;;;;x;
spell_increase_local_levy_3;Увеличение набора рекрутов;;;;;;;;;;;;;x;
decrease_local_levy;Уменьшение набора рекрутов;;;;;;;;;;;;;x;
decrease_local_levy_desc;Уменьшает численность ополченцев в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600028;Используйте магию Разрушения, чтобы уменьшить численность рекрутов в указанной провинции.;;;;;;;;;;;;;x;
EVTOPTA600028;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600028;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600028;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600028;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_decrease_local_levy_1;Уменьшение набора рекрутов;;;;;;;;;;;;;x;
spell_decrease_local_levy_2;Уменьшение набора рекрутов;;;;;;;;;;;;;x;
spell_decrease_local_levy_3;Уменьшение набора рекрутов;;;;;;;;;;;;;x;
boost_local_recruitment;Поддержка местных ополченцев;;;;;;;;;;;;;x;
boost_local_recruitment_desc;Усилить солдат в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600029;Используйте магию Восстановления, чтобы ускорить исцеление местных солдат от ран.;;;;;;;;;;;;;x;
EVTOPTA600029;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600029;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600029;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600029;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_boost_local_recruitment_1;Поддержка местных ополченцев;;;;;;;;;;;;;x;
spell_boost_local_recruitment_2;Поддержка местных ополченцев;;;;;;;;;;;;;x;
spell_boost_local_recruitment_3;Поддержка местных ополченцев;;;;;;;;;;;;;x;
decay_local_recruitment;Ослабление местных ополченцев;;;;;;;;;;;;;x;
decay_local_recruitment_desc;Ослабить солдат в указанной провинции;;;;;;;;;;;;;x;
EVTDESC600030;Используйте магию Разрушения, чтобы замедлить исцеление местных войск от ран.;;;;;;;;;;;;;x;
EVTOPTA600030;Я выберу малую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTB600030;Я выберу средний вариант заклинания.;;;;;;;;;;;;;x;
EVTOPTC600030;Я выберу большую версию заклинания.;;;;;;;;;;;;;x;
EVTOPTD600030;Я изменил свое решение.;;;;;;;;;;;;;x;
spell_decay_local_recruitment_1;Ослабление местных ополченцев;;;;;;;;;;;;;x;
spell_decay_local_recruitment_2;Ослабление местных ополченцев;;;;;;;;;;;;;x;
spell_decay_local_recruitment_3;Ослабление местных ополченцев;;;;;;;;;;;;;x;
increase_garrison;Увеличение гарнизона;;;;;;;;;;;;;x;
increase_garrison_desc;Увеличить гарнизон в указанной провинции;;;;;;;;;;;;;x;
