#CODE;RUSSIAN;x
INSULT_PIGFACE;хрюшка;x #child
RULE_IFM_RESTRICTED_DESC;Правители разных религий никогда не соглашаются с предложениями о браке.;x
RULE_IFM_OPEN_DESC;Даже правители враждебных и разных религий не учитывают это в решениях о браке.;x
RULE_MATRILINEAL_MARRIAGES;Матрилинейне браки;x
RULE_MATRILINEAL_ON_DESC;Матрилинейные браки допустимы в случаях, когда религия и политическая система позволяют это.;x
RULE_MATRILINEAL_OFF_DESC;Матрилинейные браки недопустимы. §RВНИМАНИЕ: Будучи правителем женского пола, весьма трудно избежать завершения игры и произвести на свет наследника своей династии!§!;x
RULE_DIPLO_ASSASSINATION;Убийства;x
RULE_DIPLO_ASSASSINATION_OFF;Только через заговор;x
RULE_DIPLO_ASSASSINATION_OFF_DESC;Вы можете убить человека только через заговор.;x
RULE_DIPLO_ASSASSINATION_ON;Прямой приказ;x
RULE_DIPLO_ASSASSINATION_ON_DESC;В дополнение к заговорам есть возможность заказать убийство человека через меню дипломатических действий.;x
RULE_AI_SEDUCTION;§BWay of Life:§! Соблазнение ИИ;x
RULE_AI_SEDUCTION_ON_DESC;ИИ-правители, избравшие путь соблазнения, пытаются соблазнять других.;x
RULE_AI_SEDUCTION_OFF_DESC;ИИ-правители никогда не выбирают путь соблазнения.;x
RULE_DEF_ATTRITION;Оборонительный измор;x
RULE_DEF_ATTRITION_ON_DESC;Войска захватчиков страдают от тяжёлого измора на землях некоторых язычников, если их военная организованность недостаточно высока.;x
RULE_DEF_ATTRITION_TRIBAL;Только племена;x
RULE_DEF_ATTRITION_TRIBAL_DESC;Войска захватчиков страдают от тяжёлого измора на землях некоторых язычников, но только если эти захватчики - племена.;x
RULE_DEF_ATTRITION_OFF_DESC;Нет никакого особого измора на землях язычников, помимо обычного.;x
RULE_INVITATION;Приглашение ко двору;x
RULE_INVITATION_DEFAULT_DESC;Придворные других правителей принимают приглашения к Вашему двору только при специфических обстоятельствах.;x
RULE_INVITATION_OPEN_DESC;Придворные других правителей принимают приглашения к Вашему двору, если Вы им нравитесь больше чем их сюзерен.;x
RULE_VASSAL_REPUBLICS;Вассальные республики;x
RULE_VASSAL_REPUBLICS_RESTRICTED_DESC;Только малая доля вассальных государств может быть республиками.;x
RULE_VASSAL_REPUBLICS_UNRESTRICTED_DESC;Вы можете иметь любое количество вассальных республик.;x
RULE_VASSAL_THEOCRACIES;Вассальные теократии;x
RULE_VASSAL_THEOCRACIES_RESTRICTED_DESC;Только малая доля вассальных государств могут быть теократическими.;x
RULE_VASSAL_THEOCRACIES_UNRESTRICTED_DESC;Вы можете иметь любое количество вассальных теократических государств.;x
RULE_PAGAN_REFORMATION;Реформирование язычества;x
RULE_PAGAN_REFORMATION_ALLOWED;Допустимо;x
RULE_PAGAN_REFORMATION_ALLOWED_DESC;Языческие религии могут быть реформированы, если контролируют достаточно священных мест.;x
RULE_PAGAN_REFORMATION_DISALLOWED;Недопустимо;x
RULE_PAGAN_REFORMATION_DISALLOWED_DESC;Языческие религии не реформируются.;x
RULE_PAGAN_REFORMATION_PLAYERS;Только игроки;x
RULE_PAGAN_REFORMATION_PLAYERS_DESC;Только игрокам доступно реформирование языческих религий.;x
IS_NOT_MULTIPLAYER_HOST_CHARACTER;§Y$CHAR$§! НЕ является хостом.\n;x
IS_MULTIPLAYER_HOST_CHARACTER;§Y$CHAR$§! является хостом.\n;x
CHECKSUM_TRIGGER;Текущая версия игры поддерживается активными модами.\n;x
CHECKSUM_TRIGGER_NOT;Текущая версия игры НЕ поддерживается активными модами.\n;x
MONTHLY_PRESTIGE_LESS_THAN;Месячный прирост престижа меньше чем $VALUE|Y$.;x
MONTHLY_PRESTIGE_GREATER_THAN;Месячный прирост престижа НЕ меньше чем $VALUE|Y$.;x
MONTHLY_PIETY_LESS_THAN;Месячный прирост благочестия меньше чем $VALUE|Y$.;x
MONTHLY_PIETY_GREATER_THAN;Месячный прирост благочестия НЕ меньше чем $VALUE|Y$.;x
ADD_SCALED_PRESTIGE_EFFECT;$CHAR|Y$ получит $VALUE|G$ к престижу.;x
ADD_SCALED_PRESTIGE_EFFECT_NEGATIVE;$CHAR|Y$ потеряет $VALUE|R$ престижа.;x
ADD_SCALED_PIETY_EFFECT;$CHAR|Y$ получит $VALUE|G$ к благочестию.;x
ADD_SCALED_PIETY_EFFECT_NEGATIVE;$CHAR|Y$ потеряет $VALUE|R$ благочестия.;x
SET_PENTARCH_TITLE_EFFECT;$PENTARCH_TITLE|Y$ распространит юрисдикцию пентарха на область, известную как $TITLE|Y$.;x
REMOVE_MODIFIERS_EFFECT;$OBJECT|Y$ потеряет $AMOUNT|Y$ экземпляров модификатора $MODIFIER|Y$.;x
HAVE_INSTANCES_OF_MODIFIER;Имеет как минимум $AMOUNT|Y$ экземпляров модификатора $MODIFIER|Y$.;x
HAVE_NOT_INSTANCES_OF_MODIFIER;НЕ имеет $AMOUNT|Y$ или более экземпляров модификатора $MODIFIER|Y$.;x
EVTOPTA72110_TOOLTIP;Вашим гостям понравился праздник, что повышает их §Yмнение о Вас§! на §G5§! на §Y2§! года\n;x
EVTOPTA70002_TOOLTIP;Участникам понравился Ваш турнир, что повышает их §Yмнение о Вас§! на §G5§! на §Y5§! лет\n;x
EVTNAME_RIP_10002;Bести об эпидемии;x
EVTDESC_RIP_10002;Нам стало известно, что [plague_outbreak_location.Realm.GetName] страдает от ужасной эпидемии. Сведения пока туманны и противоречивы, однако, уже сейчас понятно, что эта болезнь крайне тяжела и, вероятно, неизлечима. Люди мрут словно мухи, а паника распространяется быстрее, чем зараза. Никто не знает, что послужило причиной, кто-то обращается к своим богам, другие ищут виновных среди окружающих. Эту напасть уже прозвали Новой Чумой... грядут Тёмные Времена.;x
EVTDESC_RIP_10003;К нам всё чаще поступают сообщения об ужасной эпидеции в округе [plague_outbreak_location.GetName], находящемся в землях [plague_outbreak_location.Realm.GetAdjective]ского государства. Поначалу слухи казались преувеличением, но когда к нашим воротам начали прибывать толпы беженцев, стало очевидно, что больше нельзя игнорировать происходящее. Очевидцы описывают симптомы болезни: большие нарывы, кровавая рвота и гниение заживо. Ужас распространяется с огромной скоростью, и нет никаикх вестей о случаях выздоровления, только о массовых захоронениях.;x
EVTDESC_RIP_10001;[plague_outbreak_location.County.GetAdjective]ское население страдает от ужасной эпидемии. Заражённые страдают от огромных нарывов и высокой температуры, их рвёт кровью и они умирают прямо посреди улиц. Болезнь быстро прогрессирует, и те, кто заболел пару дней назад сегодня могут быть уже мертвы. Эпидемия распространяется вглубь страны, а лекари лишь разводят руками, не в силах найти лекарство. Причины неизвестны, и каждый пытается спастись по-своему. Вокруг высятся горы черных трупов, охваченных гниением... Болезнь уже на пороге.;x
EVTOPTA_RIP_10002;Бедные люди.;x
EVTOPTB_RIP_10002;Мы должны подготовиться.;x
EVTOPTC_RIP_10002;Достойная кара для иноверцев.;x
EVTOPTD_RIP_10002;Если я могу помочь, я помогу.;x
EVTOPTE_RIP_10002;Болезнь сразит только слабых!;x
EVTOPTF_RIP_10002;Я знал[Root.GetEndA], что это случится!;x
EVTOPTA_RIP_10003;[plague_outbreak_location.GetName] совсем близко.;x
EVTNAME_RIP_10001;Cтрашная напасть;x
EVTOPTA_RIP_10001;Помолимся...;x
EVTNAME_RIP_10006;Cпасайтесь! Чума!;x
EVTDESC_RIP_10006;Толпы беженцев прибывают в [bordering_province.County.GetAdjective]ские земли. Большинство прибыло из округа [infected_province.GetName], охваченного чумой. Некоторые вовсе потеряли свои семьи, другие - бегут от эпидемии вместе с родными, а кто-то ушёл с насиженных мест, едва услышав о заразе. Все эти люди несут печать ужаса, который им пришлось пережить. Они мало говорят о том, что видели, а если и говорят, то шёпотом. Местным советуют прятаться или бежать от этого кошмара, пока ещё могут.;x
EVTOPTA_RIP_10006;Мы должны пережить это.;x
EVTOPTB_RIP_10006;Нам понадобятся госпитали.;x
EVTOPTC_RIP_10006;Эти грязные нечестивцы принесли сюда чуму!;x
EVTOPTD_RIP_10006;Надеюсь, мы сможем помочь этим людям.;x
EVTOPTE_RIP_10006;Мы не боимся!;x
EVTOPTF_RIP_10006;Чума пришла за мной!;x
title_court_physician;Придворный лекарь;x
title_court_physician_desc;Придворные лекарь, ответственный за здоровье Ваших придворных, будет пытаться диагностировать и лечить любые недуги, которые их постигнут. Лекари обычно знают своё дело и обладают необходимым образованием.;x
cough;Страдает от кашля;x
cough_desc;Эт[GetEtaEtot] [GetAgedPerson] страдает от сильного кашля - весьма надоедливого, а иногда и болезненного симптома.;x
fever;Страдает от лихорадки;x
fever_desc;Эт[GetEtaEtot] [GetAgedPerson] страдает от лихорадки. Весьма серьёзный симптом, который нельзя игнорировать.;x
diarrhea;Страдает от диареи;x
diarrhea_desc;Эт[GetEtaEtot] [GetAgedPerson] страдает от диареи, что вызывает обезвоживание и может быть фатальным.;x
vomiting;Страдает от рвоты;x
vomiting_desc;Эт[GetEtaEtot] [GetAgedPerson] страдает от периодической рвоты, что препятствует усвоению пищи и воды, ослабляя организм.;x
chest_pain;Страдает от боли в груди;x
chest_pain_desc;Эт[GetEtaEtot] [GetAgedPerson] страдает от боли в груди. Какова бы не была причина этого симптома - стресс, переедание или что-то более серьёзное, смерть может наступить внезапно, и никто не поймёт почему.;x
cramps;Страдает от судорог;x
cramps_desc;Эт[GetEtaEtot] [GetAgedPerson] страдает от острых внезапных спазмов, что не только неприятно, но и опасно, особенно когда случается не в том месте, не в то время.;x
rash;Страдает от сыпи;x
rash_desc;У эт[GetOyOgo] [GetAgedPersonGEN] сыпь. Она болит и чешется, это не только некрасиво, но и может быть очень опасным признаком чего-то ещё.;x
headache;Страдает от мигрени;x
headache_desc;Эт[GetEtaEtot] [GetAgedPerson] страдает от постоянной головной боли, симптома, который может означать что угодно...;x
one_legged;Одноног[_ий];x #GetAyaIy_TT_ий
one_legged_desc;Это[GetYMu] [GetAgedPersonDAT] не хватает ноги - реальная проблема на поле боя и при игре в догонялки.;x
one_handed;Однорук[_ий];x #GetAyaIy_TT_ий
one_handed_desc;Это[GetYMu] [GetAgedPersonDAT] не хватает руки - серьёзный недостаток в бою, зато хорошая отмазка от домашних дел.;x
one_eyed;Одноглаз[_ый];x #GetAyaYy_TT_ый
one_eyed_desc;У эт[GetOyOgo] [GetAgedPersonGEN] только один глаз - такое не каждый день увидишь.;x
disfigured;Изуродованн[_ый];x #GetAyaYy_TT_ый
disfigured_desc;Внешность эт[GetOyOgo] [GetAgedPersonGEN] мало кого не испугает.;x
abdominal_pain;Страдет от боли в животе;x
abdominal_pain_desc;Эт[GetUOgo] [GetAgedPersonACC] мучает боль в животе - возможно, [GetSheHe] съел[GetEndA] что-то не то, ну а что ещё это может быть?;x
fatigue;Страдает от слабости;x
fatigue_desc;Эт[GetEtaEtot] [GetAgedPerson] постоянно утомлен[GetEndA] - любое усилие изнуряет [GetHersHis].;x
malaise;Страдет от недомогания;x
malaise_desc;Эт[GetEtaEtot] [GetAgedPerson] не может сказать, что конкретно с н[GetEyIm] не так, но чувствует себя плохо.;x
infection;Страдает от инфекции;x
infection_desc;Эт[GetEtaEtot] [GetAgedPerson] чем-то заражен[GetEndA], выглядит и пахнет плохо, а чувствует себя ещё хуже.;x
flu;Болеет гриппом;x
flu_desc;У эт[GetOyOgo] [GetAgedPersonGEN] грипп - лихорадка, головные боли и всё такое.;x
dysentery;Болеет дизентерией;x
dysentery_desc;У эт[GetOyOgo] [GetAgedPersonGEN] дизентерия - кровавый понос, вызванный воспалением кишечника.;x
gout;Страдает от подагры;x
gout_desc;У эт[GetOyOgo] [GetAgedPersonGEN] подагра - отёки и боли в суставах, иногда сопровождающиеся лихорадкой и слабостью.;x
food_poisoning;Страдает от пищевого отравления;x
food_poisoning_desc;Эт[GetEtaEtot] [GetAgedPerson] страдает от пищевого отравления - сильная рвота, понос. Довольно опасное, но недолгое состояние.;x
rabies;Болеет бешенством;x
rabies_desc;У эт[GetOyOgo] [GetAgedPersonGEN] бешенство - отёк и воспаление мозга, которое странно влияет на поведение.;x
flu_death;от гриппа;x
dysentery_death;от кровавого поноса;x
gout_death;от подагры;x
food_poisoning_death;от пищевого отравления;x
rabies_death;с пеной изо рта;x
cancer_death;от рака;x
cough_death;выкашлив свои лёгкие;x
fever_death;от лихорадкий;x
diarrhea_death;от обезвоживания, вызванного поносом;x
vomiting_death;от кровавой рвоты;x
chest_pain_death;схватившись за сердце;x
cramps_death;от судорожного припадка;x
rash_death;раздирая до крови свою кожу;x
headache_death;от кровотечения из глаз и ушей;x
abdominal_pain_death;схватившись за живот;x
fatigue_death;от истощения;x
malaise_death;от непонятного недомогания;x
infection_death;от заражения раны;x
severely_injured;Серьёзно ранен[_];x #GetEndA_TT
severely_injured_desc;Эт[GetEtaEtot] [GetAgedPerson] недавно получил[GetEndA] увечья и серьёзно ранен[GetEndA], что угрожает [GetHersHis] жизни. Раны могут зажить, но ущерб здоровью останется с ним навсегда.;x
severely_injured_death;от потери крови, вызванной серьезным ранением;x
mangled;Искромсанн[_ый];x #GetAyaYy_TT_ый
mangled_desc;Эт[GetEtaEtot] [GetAgedPerson] получил[GetEndA] ужасные увечья и теперь вынужден жить с искалеченным телом.;x
mangled_death;превратившись в кровавое месиво;x
maimed_effect_tooltip;§Y[This.GetBestName]§! станет §YИзувеченн[This.GetOyYm]§!\n;x
depopulated_1;Мор;x
depopulated_1_desc;Население этого округа сократилось из-за эпидемии. Когда болезнь отступит, прежняя численность быстро восстановится.;x
depopulated_2;Тяжёлый мор;x
depopulated_2_desc;Население этого округа значительно сократилось из-за эпидемии. Когда болезнь уйдёт, прежняя численность восстановится за несколько лет.;x
depopulated_3;Великий мор;x
depopulated_3_desc;Население этого округа почти полностью уничтожено эпидемией. Когда болезнь покинет его, пройдёт много лет, прежде чем прежняя численность восстановится.;x
EVTNAME_RIP_10015;Индия поражена чумой;x
EVTOPTA_RIP_10015;Когда же это закончится?;x
EVTNAME_RIP_10016;B Персии свирепствует чума;x
EVTNAME_RIP_10017;Cредний Восток разорён чумой;x
EVTNAME_RIP_10018;Aфрика страдает от чумы;x
EVTNAME_RIP_10019;Mалая Азия разорена чумой;x
EVTNAME_RIP_10020;Bосточная Европа поражена чумой;x
EVTNAME_RIP_10021;B Южную Европу пришла чума;x
EVTNAME_RIP_10022;B Западной Европе чума;x
EVTNAME_RIP_10023;Cеверная Европа заражена;x
EVTNAME_RIP_10024;Cтепные земли во власти чумы;x
EVTDESCA_RIP_11000;Думал[Root.GetEndA], это уже никогда не случится, но моя рана полностью зажила.;x
EVTOPTA_RIP_11000;Наконец-то;x
EVTDESCB_RIP_11000;Ваша ужасная рана теперь загноилась и источает мерзкое зловоние. Боль стала невыносимой, а придворные шарахаются от Вас, как от самой смерти.;x
EVTOPTB_RIP_11000;Это плохо.;x
EVTDESC_RIP_11001;Инфекция несколько раз приближала Вас к смерти, но боль и ужасный запах прошли и рана теперь выглядит чистой.;x
EVTOPTA_RIP_11001;Мне уже лучше.;x
EVTDESC_RIP_11002;Вы заметили, что уже несколько дней Вас не мучает кашель. Как же хорошо спать по ночам, не вскакивая каждые полчаса, чтобы прочистить горло.;x
EVTDESC_RIP_11003;Лихорадка прошла, и к Вам вернулись силы. Теперь Вы можете сосредоточиться на повседневных заботах.;x
EVTDESC_RIP_11004;Наконец-то этот кошмар прекратился, Ваша диарея прошла.;x
EVTDESC_RIP_11005;Рвота наконец прекратилась, теперь Вы снова можете есть.;x
EVTDESC_RIP_11006;Боль в груди, недавно мучавшая Вас, похоже, прекратилась.;x
EVTDESC_RIP_11007;Ваши судороги прекратились. Что бы их не вызывало, похоже оно больше не представляет опасности.;x
EVTDESC_RIP_11008;Похоже, Ваша сыпь полностью прошла. Те места, где она была больше не чешутся.;x
EVTDESC_RIP_11009;Головная боль наконец оставила Вас в покое, теперь Вы снова можете сосредоточиться.;x
EVTDESC_RIP_11010;Боль в животе, мучавшая Вас в последнее время, теперь прошла.;x
EVTDESC_RIP_11011;Чувство слабости, которое преследовало Вас в последние дни, теперь исчезло. Силы к Вам вернулись и Вы можете вернутся к повседневным делам.;x
EVTDESC_RIP_11012;Не знаю, разыгралось ли моё воображение или это была какая-то болезнь, но сейчас недомогание прошло.;x
EVTDESC_RIP_11015;Вы оправились от гриппа. Теперь кашель, лихорадка и головная боль - лишь череда неприятных воспоминаний.;x
EVTDESC_RIP_11016;Обезвоживание и боли в животе Вам больше не грозят - дизентерия прошла.;x
EVTDESC_RIP_11017;Мучительная боль и опухшие суставы - всё это осталось в прошлом, Ваша подагра прошла.;x
EVTDESC_RIP_11018;Сильная рвота и диарея прекратились, Вы оправились от того, что больше всего похоже на пищевое отравление.;x
EVTDESC_RIP_11019;Вспышки ярости и потери сознания остались в прошлом. Вы смогли оправиться от бешенства.;x
EVTDESC_RIP_11020;Ваши опухоли исчезли, болезнь оступила. Пройдет некоторое время до полного выздоровления, но, похоже, Вы победили рак.;x
EVTDESC_RIP_11501;Возможно, поступи Вы немного иначе и могли бы избежать этого, но уже поздно, теперь Вы одноглаз[Root.GetAyaYy].;x
EVTOPTA_RIP_11501;Оглядываясь назад, я бы сказал[Root.GetEndA] 50 на 50.;x
EVTDESC_RIP_11502;На месте Вашей ладони лишь обрубок, теперь Вы однорук[Root.GetAyaIy].;x
EVTOPTA_RIP_11502;Придётся с этим жить.;x
EVTDESC_RIP_11503;Боль пронзает всё Ваше тело, начинаясь там, где была Ваша нога. Теперь Вы одноног[Root.GetAyaIy].;x
EVTOPTA_RIP_11503;Плохо.;x
EVTDESC_RIP_11504;То, что раньше было Вашим лицом, сейчас жуткое месиво. Теперь Вы изуродованн[Root.GetAyaYy].;x
EVTOPTA_RIP_11504;Я не могу показывать такое людям.;x
EVTDESC_RIP_11505;Форма Вашего тела изменилась навсегда, раздробленные кости, повреждённые органы - люди не в силах сдержать отвращения. Теперь Вы искромсанн[Root.GetAyaYy].;x
EVTOPTA_RIP_11505;Мне никогда не стать прежн[Root.GetEyIm].;x
EVTDESC_RIP_11021;Кашель почти прошёл, как и лихорадка. Вам удалось пережить пневмонию.;x
EVTDESC_RIP_11022;Язвы на Вашем теле зажили, а самочувствие почти вернулось к нормальному. Вы избавились от сифилиса.;x
EVTDESC_RIP_11023;Это чудо! Вы избавились от проказы.;x
EVTDESC_RIP_11024;Вы проснулись обновлённ[Root.GetOyYm]. Лихорадка отступила и к Вам вернулся аппетит. Похоже, Вы избавились от чахотки.;x
EVTDESC_RIP_11025;Горячка прошла, Вас больше не мучают галлюцинации, а температура снова нормальная. Вам удалось справиться с брюшным тифом.;x
EVTDESC_RIP_11026;Силы вернулись к Вам, боль почти прошла. Вы справились с сыпным тифом.;x
EVTDESC_RIP_11027;Вы не знаете, как это произошло, но Ваша кожа снова нормального цвета, абсцессы прошли. Похоже, Вы избавились от чумы.;x
EVTDESC_RIP_11028;Лихорадка, мучавшая Вас в последние дни, отступила, сыпь исчезла. Корь-шморь, её будто и не было.;x
EVTDESC_RIP_11029;Почти все волдыри на Вашем теле исчезли. Оспы больше нет.;x
EVTDESC_RIP_11030;Почти все волдыри на... кхм... Вашем теле исчезли. Вы избавились от сифилиса.;x
EVTOPTD_RIP_11035_TOOLTIP;Вы решили положиться на свой организм.\n;x
successful_treatment_1;Лёгкое исцеление;x
successful_treatment_2;Успешное исцеление;x
successful_treatment_3;Успешное экспериментальное исцеление;x
failed_treatment_1;Плохое лечение;x
failed_treatment_2;Ужасное лечение;x
EVTDESC_RIP_11035;Ваш придворный лекарь [From.GetBestName] предлагает методы лечения Вашего недуга. От специфики каждого из них зависит не только успех в исцелении, но и риски, связанные с побочными эффектами.;x
EVTOPTA_RIP_11035;Моя жизнь в Ваших руках.;x
EVTOPTA_RIP_11035_TOOLTIP;§Y[From.GetBestName]§! опробует экспериментальное лечение. Результат может быть неожиданным. Риски зависят от [From.GetHersHis] навыков.;x
EVTOPTB_RIP_11035;Думаю, Вы знаете, что нужно делать.;x
EVTOPTB_RIP_11035_TOOLTIP;§Y[From.GetBestName]§! прибегнет к традиционным методам лечения. Конечно, есть шанс навредить пациенту, но риски зависят от [From.GetHersHis] навыков.;x
EVTOPTC_RIP_11035;Прошу, делайте только самое необходимое.;x
EVTOPTC_RIP_11035_TOOLTIP;§Y[From.GetBestName]§! облегчит Ваши симптомы. Такое лечение имеет крайне малый шанс негативных эффектов, но и шансов на успех тоже. Риски зависят от навыков лекаря.;x
EVTOPTD_RIP_11035;Эти методы меня пугают.;x
EVTDESC_RIP_11040;[FromFrom.GetBestName] посмотрел[FromFrom.GetEndA] мне прямо в глаза и заставил[FromFrom.GetEndA] выпить какую-то грязную воду, которую принес[FromFrom.GetNoneE] с собой.;x
EVTDESC_RIP_11041;[FromFrom.GetBestName] дал[FromFrom.GetEndA] мне какой-то травяной настой и велел[FromFrom.GetEndA] пить его каждый день, больше отдыхать и воздерживаться от еды.;x
EVTDESC_RIP_11042;[FromFrom.GetBestName] спел[FromFrom.GetEndA] мне песенку и накрыл[FromFrom.GetEndA] одеялом. [FromFrom.GetSheHeCap] сказал[FromFrom.GetEndA], что сон полностью излечит мой недуг.;x
EVTOPTA_RIP_11045_TOOLTIP;§Y[From.GetBestName]§! сделает всё, чтобы вылечить Ваш недуг.;x
EVTOPTA_RIP_11045;Ладно.;x
EVTDESC_RIP_11045_has_tuberculosis;[From.GetTitledName] почти уверен[From.GetEndA], что у Вас чахотка, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_tuberculosis_horse;[From.GetTitledName] думает, что звуки, которые Вы издаёте, совсем не похожи на дыхание здоровой лошади - скорее всего у Вас чахотка. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_tuberculosis_certain;[From.GetTitledName] утверждает, что весь [From.GetHersHis] медицинский опыт приводит к заключению, что у Вас чахотка, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_tuberculosis_sure;[From.GetTitledName] уверен[From.GetEndA], что у Вас чахотка, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_tuberculosis_uncertain;[From.GetTitledName] говорит, что не уверен[From.GetEndA], но скорее всего у Вас чахотка, или что-то вроде того. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhoid_fever;[From.GetTitledName] почти уверен[From.GetEndA], что у Вас брюшной тиф, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhoid_fever_horse;[From.GetTitledName] почти уверен[From.GetEndA], что у Вас брюшной тиф. Велел[From.GetEndA] не покидать стойло и следовать [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhoid_fever_certain;[From.GetTitledName] утверждает, что весь [From.GetHersHis] медицинский опыт приводит к заключению, что у Вас брюшной тиф. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhoid_fever_sure;[From.GetTitledName] уверен[From.GetEndA], что у Вас брюшной тиф, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhoid_fever_uncertain;[From.GetTitledName] говорит, что не уверен[From.GetEndA], но скорее всего у Вас брюшной тиф, или что-то вроде того. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhus;[From.GetTitledName] почти уверен[From.GetEndA], что у Вас сыпной тиф, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhus_horse;[From.GetTitledName] почти уверен[From.GetEndA], что у Вас сыпной тиф, недуг, способный изменить сознание. [From.GetSheHeCap] сделал[From.GetEndA] паузу, покачав гривой и стукнув пару раз копытом, затем велел[From.GetEndA] следить за признаками делирия и следовать [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhus_certain;[From.GetTitledName] утверждает, что весь [From.GetHersHis] медицинский опыт приводит к заключению, что у Вас сыпной тиф. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhus_sure;[From.GetTitledName] уверен[From.GetEndA], что у Вас сыпной тиф, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_typhus_uncertain;[From.GetTitledName] говорит, что не уверен[From.GetEndA], но скорее всего у Вас сыпной тиф, или что-то вроде того. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_bubonic_plague;[From.GetTitledName] весьма обеспокоен[From.GetEndA]. Говорит, скорее всего у Вас бубонная чума и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_bubonic_plague_horse;[From.GetTitledName] весьма обеспокоен[From.GetEndA] тем, что скорее всего у Вас бубонная чума, и Вы можете скоро откинуть копыта, если не будете следовать [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_bubonic_plague_certain;[From.GetTitledName] утверждает, что весь [From.GetHersHis] медицинский опыт приводит к заключению, что у Вас бубонная чума. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_bubonic_plague_sure;[From.GetTitledName] уверен[From.GetEndA], что у Вас бубонная чума, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_bubonic_plague_uncertain;[From.GetTitledName] говорит, что не уверен[From.GetEndA], но скорее всего у Вас бубонная чума, или что-то вроде того. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_measles;[From.GetTitledName] почти уверен[From.GetEndA], что у Вас корь, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_measles_horse;[From.GetTitledName] почти уверен[From.GetEndA], что у Вас корь, но надеется, что чубарость скоро пройдёт. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_measles_certain;[From.GetTitledName] утверждает, что весь [From.GetHersHis] медицинский опыт приводит к заключению, что у Вас корь. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_measles_sure;[From.GetTitledName] уверен[From.GetEndA], что у Вас корь, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_measles_uncertain;[From.GetTitledName] говорит, что не уверен[From.GetEndA], но скорее всего у Вас корь. Или хворь. Нет, всё правильно - корь... Наверное. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_small_pox;[From.GetTitledName] почти уверен[From.GetEndA], что у Вас оспа, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_small_pox_horse;[From.GetTitledName] обеспокоен[From.GetEndA] тем, что Вы - не [Root.GetMareSteed], ведь скорее всего у Вас оспа, а для людей она смертельна. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_small_pox_certain;[From.GetTitledName] утверждает, что весь [From.GetHersHis] медицинский опыт приводит к заключению, что у Вас оспа. [From.GetSheHeCap] настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
EVTDESC_RIP_11045_has_small_pox_sure;[From.GetTitledName] уверен[From.GetEndA], что у Вас оспа, и настаивает, чтобы Вы следовали [From.GetHersHis] указаниям.;x
